TimeSeries Dataset,Model,Models,Novelty,Lr,hd_bites,Noise,Level Noise,MAE
SanFranciscoTraffic,KalmanHD,8,0.2,0.01,1,Gaussian,0.0,0.6396005358386709
SanFranciscoTraffic,KalmanHD,8,0.2,0.01,1,Gaussian,0.0,0.24593637358668974
SanFranciscoTraffic,KalmanHD,8,0.2,1e-05,1,Gaussian,0.0,0.44099991463187943
SanFranciscoTraffic,KalmanHD,8,0.2,0.001,1,None,0.0,0.1430833265834709
SanFranciscoTraffic,KalmanHD,8,0.2,0.001,1,None,0.0,0.1553822037421964
SanFranciscoTraffic,KalmanHD,8,0.2,0.001,1,None,0.0,0.16500887305005024
SanFranciscoTraffic,RegHD,8,0.2,1e-06,1,None,0.0,0.21537910038596875
SanFranciscoTraffic,RegHD,8,0.2,1e-05,1,None,0.0,0.16114970455249705
SanFranciscoTraffic,KalmanHD,8,0.2,0.001,1,None,0.0,0.16500887305005024
SanFranciscoTraffic,KalmanHD,8,0.2,0.001,1,None,0.0,0.1531591641505682
SanFranciscoTraffic,KalmanHD,8,0.2,0.001,1,None,0.0,0.16100084953722088
GuangzhouTraffic,KalmanHD,8,0.2,0.001,1,None,0.0,0.12405203852977023
SanFranciscoTraffic,KalmanHD,8,0.2,0.001,1,None,0.0,0.15812031984303784
EnergyConsumptionFraunhofer,KalmanHD,8,0.2,0.001,1,None,0.0,0.2205314961089818
SanFranciscoTraffic,KalmanHD,8,0.2,0.001,1,None,0.0,0.16003301908833753
SanFranciscoTraffic,KalmanHD,8,0.2,0.0001,1,None,0.0,0.20059371558302116
MetroInterstateTrafficVolume,KalmanHD,8,0.2,0.001,1,None,0.0,1.5140607973775827e+17
MetroInterstateTrafficVolume,KalmanHD,8,0.2,0.0001,1,None,0.0,9.553487424109575
MetroInterstateTrafficVolume,KalmanHD,8,0.2,1e-05,1,None,0.0,0.7555220169369623
ElectricityLoadDiagrams,KalmanHD,8,0.2,0.0001,1,None,0.0,0.14790824508181222
SanFranciscoTraffic,KalmanHD,8,0.2,0.001,1,None,0.0,0.16003301908833753
SanFranciscoTraffic,KalmanHD,8,0.2,0.001,1,None,0.0,0.21806620321206083
SanFranciscoTraffic,KalmanHD,8,0.2,0.001,1,None,0.0,0.19810219689783368
SanFranciscoTraffic,KalmanHD,8,0.2,0.001,1,None,0.0,0.18070351497544093
SanFranciscoTraffic,KalmanHD,8,0.2,0.001,1,None,0.0,0.16950501622999728
